DEBUG 2024-03-28 08:30:59,371 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1707301431.9387715
DEBUG 2024-03-28 08:30:59,371 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\DLLs\_socket.pyd first seen with mtime 1692878400.0
DEBUG 2024-03-28 08:30:59,372 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1707301440.762719
DEBUG 2024-03-28 08:30:59,372 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\logging\handlers.py first seen with mtime 1692878352.0
DEBUG 2024-03-28 08:30:59,372 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1707301431.926778
DEBUG 2024-03-28 08:30:59,372 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py first seen with mtime 1692878352.0
DEBUG 2024-03-28 08:30:59,372 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1707301440.426912
DEBUG 2024-03-28 08:30:59,372 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1707301433.7877123
DEBUG 2024-03-28 08:30:59,373 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\html\entities.py first seen with mtime 1692878350.0
DEBUG 2024-03-28 08:30:59,373 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1707301439.4004986
DEBUG 2024-03-28 08:30:59,373 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1707301439.4084947
DEBUG 2024-03-28 08:30:59,373 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\forms\fields.py first seen with mtime 1707301440.8406737
DEBUG 2024-03-28 08:30:59,373 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1707301441.085533
DEBUG 2024-03-28 08:30:59,373 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\dis.py first seen with mtime 1692878350.0
DEBUG 2024-03-28 08:30:59,373 autoreload File C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\lzma.py first seen with mtime 1692878352.0
DEBUG 2024-03-28 08:30:59,374 autoreload File C:\Users\hp\PycharmProjectslL\daraja\daraja\venv\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1707301435.0310006
